comparison,from_label,to_label,metric,from_value,to_value,absolute_gain,relative_gain_pct,source_path,notes
PatchCore high-res gain,PatchCore 256 ResNet18 l23,PatchCore 1024 ResNet18 l23,image_auroc,0.5965,0.7632,0.1667,27.95,reports/docs/patchcore_baseline_report.md,High resolution also improves image AUROC.
PatchCore high-res gain,PatchCore 256 ResNet18 l23,PatchCore 1024 ResNet18 l23,pixel_ap,0.0077,0.1112,0.1035,1344.16,reports/docs/patchcore_baseline_report.md,Resolution is the first major lever on Casting_class1 micro-defects.
PatchCore high-res gain,PatchCore 256 ResNet18 l23,PatchCore 1024 ResNet18 l23,pixel_auroc,0.6294,0.9503,0.3209,51.00,reports/docs/patchcore_baseline_report.md,Pixel AUROC confirms that resolution reveals the useful local signal.
PatchCore memory gain,PatchCore 1024 ResNet18 l23 mem100k,PatchCore 1024 ResNet18 l23 mem300k,image_auroc,0.7632,0.8070,0.0438,5.74,reports/docs/patchcore_baseline_report.md,Memory bank density mainly improves image-level ranking.
PatchCore memory gain,PatchCore 1024 ResNet18 l23 mem100k,PatchCore 1024 ResNet18 l23 mem300k,pixel_auroc,0.9503,0.9474,-0.0029,-0.31,reports/docs/patchcore_baseline_report.md,Pixel AUROC does not improve with larger memory bank.
PatchCore to first Feature AE,PatchCore 1024 ResNet18 l23,Feature AE layer2+layer3 topk0001,image_ap,0.8400,0.8190,-0.0210,-2.50,reports/docs/final_feature_ae_synthesis.md,Feature AE did not immediately beat PatchCore image AP without mature ROI/calibration.
PatchCore to first Feature AE,PatchCore 1024 ResNet18 l23,Feature AE layer2+layer3 topk0001,image_auroc,0.7632,0.8026,0.0394,5.16,reports/docs/final_feature_ae_synthesis.md,Selective Feature AE scoring improves image AUROC even before mature calibration.
PatchCore to first Feature AE,PatchCore 1024 ResNet18 l23,Feature AE layer2+layer3 topk0001,pixel_ap,0.1112,0.0805,-0.0307,-27.61,reports/docs/final_feature_ae_synthesis.md,Early Feature AE needed ROI/scoring maturation.
PatchCore to first Feature AE,PatchCore 1024 ResNet18 l23,Feature AE layer2+layer3 topk0001,pixel_auroc,0.9503,0.9136,-0.0367,-3.86,reports/docs/final_feature_ae_synthesis.md,Pixel AUROC drops while image-level improves; AP/AUPIMO remain more useful for micro-defects.
Early Feature AE ROI gain,Feature AE layer2+layer3 topk001,ROI hard threshold 0.50 rescore,pixel_ap,0.0805,0.1046,0.0241,29.94,reports/docs/final_feature_ae_synthesis.md,ROI starts to recover useful surface-focused localization.
Early Feature AE ROI gain,Feature AE layer2+layer3 topk001,ROI hard threshold 0.50 rescore,image_auroc,0.7105,0.7237,0.0132,1.86,reports/docs/final_feature_ae_synthesis.md,Permissive ROI gives a small image AUROC gain.
Early Feature AE ROI gain,Feature AE layer2+layer3 topk001,ROI hard threshold 0.50 rescore,pixel_auroc,0.9136,0.8658,-0.0478,-5.23,reports/docs/final_feature_ae_synthesis.md,Hard ROI can lower pixel AUROC while improving AP.
V15 to V21 pixel AP gain,Feature AE 256 ROI V15,V21 reference epoch 8,pixel_ap,0.0872,0.1426,0.0554,63.53,reports/tables/raw/feature_ae_reference_v21_epoch_matrix_summary.csv,384/768 local-context and stronger ROI materially improve pixel AP.
V15 to V21 AUROC gain,Feature AE 256 ROI V15,V21 reference epoch 8,image_auroc,0.8202,0.7275,-0.0927,-11.30,reports/tables/raw/feature_ae_reference_v21_epoch_matrix_summary.csv,V21 improves pixel AP but not image AUROC versus this V15 historical row.
V15 to V21 AUROC gain,Feature AE 256 ROI V15,V21 reference epoch 8,pixel_auroc,0.9390,0.9449,0.0059,0.63,reports/tables/raw/feature_ae_reference_v21_epoch_matrix_summary.csv,Pixel AUROC becomes slightly stronger.
old reference to RD V36 epoch2,Old RD V15 calibrated heatmap,RD AE V36 layer23 epoch2,pixel_ap,0.2251,0.2860,0.0609,27.05,reports/registries/casting_pipeline_manifest.csv,The new RD AE checkpoint already beats the old calibrated retained configuration before full post-hoc calibration.
old reference to RD V36 epoch2,Old RD V15 calibrated heatmap,RD AE V36 layer23 epoch2,aupimo,0.0571,0.0967,0.0396,69.35,reports/registries/casting_pipeline_manifest.csv,Large low-FP overlap gain before calibration.
RD V36 epoch1 to epoch2,RD AE V36 layer23 epoch1,RD AE V36 layer23 epoch2,image_auroc,0.8289,0.8772,0.0483,5.83,conversation_log_user_metrics,Metric monitoring identifies epoch2 as a better business checkpoint.
RD V36 epoch1 to epoch2,RD AE V36 layer23 epoch1,RD AE V36 layer23 epoch2,pixel_auroc,0.9695,0.9746,0.0051,0.53,conversation_log_user_metrics,Pixel AUROC improves slightly from epoch1 to epoch2.
RD V36 epoch2 to epoch3,RD AE V36 layer23 epoch2,RD AE V36 layer23 epoch3,image_auroc,0.8772,0.8114,-0.0658,-7.50,conversation_log_user_metrics,Epoch3 confirms that lower training loss does not imply better business metrics.
RD V36 epoch2 to epoch3,RD AE V36 layer23 epoch2,RD AE V36 layer23 epoch3,pixel_auroc,0.9746,0.9681,-0.0065,-0.67,conversation_log_user_metrics,Pixel AUROC also regresses after epoch2.
Raw rerun to calibrated soft ROI,RD AE V36 raw rerun,RD V36 soft ROI calibrated rerun,image_ap,0.8789,0.9221,0.0432,4.91,reports/casting_roi_rd_ae/calibration/Casting_class1_rd_ae_v36_test/calibration_summary.json,Post-hoc soft ROI calibration improves image ranking on the rerun predictions.
Previous soft ROI to calibrated rerun,RD V36 previous soft ROI precision,RD V36 soft ROI calibrated rerun,pixel_ap,0.3083,0.3775,0.0692,22.45,reports/casting_roi_rd_ae/calibration/Casting_class1_rd_ae_v36_test/calibration_summary.json,Rerun calibration improves localization precision compared with the previous documented calibration.
Previous soft ROI to calibrated rerun,RD V36 previous soft ROI precision,RD V36 soft ROI calibrated rerun,aupimo,0.1218,0.1415,0.0197,16.17,reports/casting_roi_rd_ae/calibration/Casting_class1_rd_ae_v36_test/calibration_summary.json,Rerun calibration improves low-FP overlap compared with the previous documented calibration.
old reference to final soft ROI,Old RD V15 calibrated heatmap,RD V36 soft ROI calibrated rerun,pixel_ap,0.2251,0.3775,0.1524,67.70,reports/casting_roi_rd_ae/calibration/Casting_class1_rd_ae_v36_test/calibration_summary.json,Final anomaly scoring retained configuration after rerun calibration.
old reference to final soft ROI,Old RD V15 calibrated heatmap,RD V36 soft ROI calibrated rerun,aupimo,0.0571,0.1415,0.0844,147.81,reports/casting_roi_rd_ae/calibration/Casting_class1_rd_ae_v36_test/calibration_summary.json,Final AUPIMO is more than doubled versus old reference.
Soft ROI to quality threshold,RD V36 soft ROI calibrated rerun,Quality heatmap threshold 0.38,pixel_ap,0.3775,0.3008,-0.0767,-20.32,reports/casting_roi_rd_ae/heatmaps/quality_heatmaps_thresholded,Legacy thresholded display metrics; regenerate threshold calibration before using this tradeoff with rerun metrics.
Quality threshold tradeoff,Quality threshold 0.28,Quality threshold 0.38,pixels_displayed_pct,7.97,4.91,-3.06,-38.39,reports/docs/synthese_projet.md,Threshold 0.38 removes much more visible weak noise.
Quality threshold tradeoff,Quality threshold 0.28,Quality threshold 0.38,display_precision,0.0364,0.0546,0.0182,50.00,reports/docs/synthese_projet.md,Threshold 0.38 makes displayed alerts more precise.

